date,description
2018 FALL,
August 25(Sa),Arrival Day for Class of 2022
August 25 - August 29(Sa-W),"Orientation: Academic Advising, Team Building, Leadership Skills"
August 28(Tu),Upperclass students arrive
August 30(Th),"First day of instruction, Full Semester & Session I Courses"
September 3(M),[Labor Day – no classes]
September 6(Th),Session I Add Deadline
September 13(Th),"Add Deadline; full semester courses, passionate pursuits, independent study, research, OSS and co-curricular activities"
September 14(F),Olin Monday – Monday class schedule in effect
September 17(M),Constitution Day
September 26(W),Town Meeting
September 21(F)-23(Su),Alumni Weekend – Welcome Class of 2008 and 2013
October 1(M),Session I Drop and Pass/No Credit Deadline
October 3(W),Fall Career Fair
October 8(M),[Columbus Day – no classes]
October 11(Th),Olin Monday – Monday class schedule in effect
October 12(F)-14(Su),Family Weekend
October 15(M),Session I End and last day to withdraw from course
October 17(W),33rd instructional day
October 18(Th),Session II Begins
October 24(W),Session II Add Deadline
November 2(F),Drop and Pass/No Credit Deadline
November 5(M),Approximate beginning of Spring 2019 registration
November 15(Th),Session II Drop and Pass/No Credit Deadline
November 19(M)–23(F),[Thanksgiving Recess – no classes]
December 7(F) ,Last day of instruction; Last day to withdraw from a Full Session or Session II Course
December 10(M),Study Day
December 11(Tu)-14(F),Final Assessments
December 17(M),Olin Exposition
December 18(Tu),Residence Halls close at 5:00 p.m. for intersession
WINTER BREAK 2018-19 ,
December 19(W)- January 21,[Intersession – no classes]
January 3(Th),All Final Grades due for FA2018 and Incompletes from SP2018
January 21(M),Martin Luther King Day
2019 SPRING,
January 21(M),Residence Halls Open
January 23(W),"First day of instruction, Full Semester & Session I Courses"
January 29(T),Session I Add Deadline
February 5(T),"Add Deadline; full semester courses, passionate pursuits, independent study, research, OSS and co-curricular activities"
February 6(W),Town Meeting
February 13(W),Spring Career Fair
February 18(M),[Presidents’ Day – no classes]
February 20(W),Olin Monday – Monday class schedule in effect
February 22(F),Session I Drop and Pass/No Credit Deadline
February 22(F)-23(Sa),Candidate Weekend I for Class of 2023
March 1(F)-2(Sa),Candidate Weekend II for Class of 2023
March 7(Th),[no classes]
March 8(F)-9(Sa),Candidate Weekend III for Class of 2023
March 12(T),33rd instructional day; Session I End and last day to withdraw from course
March 13(W),Session II Begins
March 18(M)-22(F),[Spring Break – no classes]
March 26(T),Session II Add DeadlIIne
April 4(Th),Drop and Pass/No Credit Deadline
April 5(F),Olin Monday – Monday class schedule in effect
April 8(M),Approximate beginning of Fall 2019 registration
April 15(M),[Patriots Day – no classes]
April 18(Th),Session II Drop and Pass/No Credit Deadline
May 3(F),Last day of instruction; Last day to withdraw from a Full Session or Session II Course
May 6(M),Study Day
May 7(Tu)-10(F),Final Assessments
May 13(M),Olin Exposition – Underclass projects and presentations (required for non-seniors); Senior Grades due by 5pm
May 14(Tu),Olin SCOPE Summitt
May 19(Su),Commencement for Class of 2019
May 20(M),Residence Halls close at 5 p.m.
May 28(Tu),All Final Grades due for SP2019 and Incompletes from FA2018
